wylie,uchen,english,rootLetter,englishDef,vocabList,wordOfTheDayOn,phonetics,stage
l+w b ,ལྭ་བ་,white wool cloth,l,a white woolen cloth,clothing,2015-11-01,,stage1
k+w ye ,ཀྭ་ཡེ་,Ah',k,Ah,exclamations,2015-11-02,,stage1
k kh ,ཀ་ཁ་,alphabet,k,the alphabet,writing,2015-11-03,,stage1
g+w p ,གྭ་པ་,white faced animal,g,animal with white face,animal,,,stage1
ku shu ,ཀུ་ཤུ་,apple,k,apple,fruit,,,stage1
kh y ,ཁ་ཡ་,attend to,kh,attention to another,,,,stage1
st re ,སྟ་རེ་,axe,t,axe,tools,,,stage1
m m ,མ་མ་,little sister,m,baby sister,family,,,stage1
kl klo ,ཀླ་ཀློ་,savage,k,barbarian or savage,people,,,stage1
chen po ,ཆེན་པོ་,large/great,ch,big or large or great,adjectives,,,stage1
nu m ,ནུ་མ་,breasts,n,breasts,health,,,stage1
nng p ,ནང་པ་,Buddhist,n,Buddhist,people,,,stage1
d r ,ད་ར་,buttermilk,d,buttermilk,food,,,stage1
shi mi ,ཤི་མི་,cat,sh,cat,animal,,,stage1
pu gu ,པུ་གུ་,child,p,child,family,,,stage1
phyu p ,ཕྱུ་པ་,chupa,ph,Chupa tibetan dress/coat,clothing,,,stage1
rj m ,རྗ་མ་,clay pot,j,clay pot,kitchen,,,stage1
spri p ,སྤྲིན་པ་,cloud,p,cloud,weather,,,stage1
by de ,བྱ་དེ་,cockeral,b,cockeral,animal,,,stage1
rogs p ,རོགས་པ་,friend,r,companion or friend or helper,people,,,stage1
b r ,བ་ར་,cow shed,b,cow shed,farmyard,,,stage1
khw t ,ཁྭ་ཏ་,crow,kh,crow,animal,,,stage1
shw b ,ཤྭ་བ་,deer,sh,deer,animal,,,stage1
mos p ,མོས་པ་,desire,m,desire,emotions,,,stage1
rdo rje ,རྡོ་རྗེ་,vajra/diamond,d,diamond or vajra,dharma,,,stage1
aem chi ,ཨེམ་ཆི་,doctor,A,doctor,health,,,stage1
ri mo ,རི་མོ་,drawing,r,drawing or painting,art,,,stage1
th n ,ཐ་ན་,at least,th,even or at least,,,,stage1
p ph ,པ་ཕ་,father,p,father,family,,,stage1
by mo ,བྱ་མོ་,hen,b,female bird or hen,animal,,,stage1
tsh b ,ཚ་བ་,hot temperature,tsh,fever or temperature or heat,health,,,stage1
tsh b ,ཚ་བ་,hot temperature,tsh,fever or temperature or heat,weather,,,stage1
ny p ,ཉ་པ་,fisherman,ny,fisherman,occupations,,,stage1
w mo ,ཝ་མོ་,male fox,w,fox (M),animal,,,stage1
bu mo ,བུ་མོ་,girl/daughter,b,girl or daughter,family,,,stage1
re mo ,ར་མོ་,goat,r,goat (F),animal,,,stage1
lh mo ,ལྷ་མོ་,goddess,h,goddess,dharma,,,stage1
shw mo ,ཤྭ་མོ་,hat,sh,hat,clothing,,,stage1
rw co ,རྭ་ཅོ་,horn,r,horn,,,,stage1
tsh po ,ཚ་པོ་,hot,tsh,hot,adjectives,,,stage1
khng p ,ཁང་པ་,house,kh,house,buildings,,,stage1
gus p ,གུས་པ་,I,g,I,,,,stage1
sng mo ,སྔ་མོ་,past,ng,in the past,time,,,stage1
rgy g.r ,རྒྱ་གར་,India,g,India,places,,,stage1
rgyu m ,རྒྱུ་མ་,intestine,g,intestine,health,,,stage1
bzng po ,བཟང་པོ་,kind hearted,z,kind or nice,adjectives,,,stage1
sn kh ,སྣ་ཁ་,variety/classification,n,kind or variety,,,,stage1
gd mo ,གད་མོ་,laughter,g,laughter,emotions,,,stage1
lh s ,ལྷ་ས་,Lhasa,h,Lhasa,places,,,stage1
srog med ,སྲོག་མེད་,lifeless,s,lifeless,adjectives,,,stage1
th ma ,ཐ་མ་,worst,th,lowest or last or inferior or worst,adjectives,,,stage1
glo b ,གློ་བ་,lungs,g,lungs,health,,,stage1
lhe b ,ལྟེ་བ་,naval/main,t,main or naval,health,,,stage1
zb mo ,ཟབ་མོ་,many,z,many,amounts,,,stage1
dbu m ,དབུ་མ་,middle,b,middle,positions,,,stage1
o m ,འོ་མ་,milk,a,milk,food,,,stage1
zl b ,ཟླ་བ་,moon/month,z,moon or month,time,,dawa,stage1
a m ,ཨ་མ་,mother,A,mother,family,,,stage1
tsi tsi ,ཙི་ཙི་,mouse,ts,mouse,animal,,,stage1
a r ,ཨ་ར་,moustache,A,moustache,health,,,stage1
nye po ,ཉེ་པོ་,close,ny,near or close,positions,,,stage1
zw pho ,ཟྭ་ཕོ་,nettle,z,nettle,plants,,,stage1
,དྭ་ཕྲུག་,orphan,d,orphan,family,,,stage1
,ཤོག་གུ་,paper,sh,paper,office,,,stage1
,པ་མ་,parents,p,parents,family,,,stage1
,ནེ་ཙོ,parrot,n,parrot,animal,,,stage1
,སྙུ་གུ་,pen,t,pen,office,,,stage1
,ཀ་བ་,pillar/post,k,pillar/post,buildings,,,stage1
,ཕྱེ་མ་,powder,ph,powder/pulverized substance,food,,,stage1
,གཙང་པོ་,river,csh,river,geography,,,stage1
,རོབ་རོབ་,rough/briefly,r,rough/briefly,adjectives,,,stage1
,ཚྭ་,salt,tsh,salt,food,,,stage1
,ཚ་ཁུ་,salty,tsh,salty,adjectives,,,stage1
,སོ་སོ་,self/different,s,self/different,,,,stage1
,རྣོ་པོ་,sharp,n,sharp,adjectives,,,stage1
,ཚ་ཁ་,shooting practice,tsh,shooting practice,,,,stage1
,ཉོ་ཆ་,shopping,ny,shopping,activities,,,stage1
,ཀྲོག་ཀྲོག་,show off,k,show off,people,,,stage1
,ན་ཚ་,disease/illness/pain,n,sickness/illness/pain/disease,health,,,stage1
,དུ་བ་,smoke,d,smoke,weather,,,stage1
,ཁ་བ་,snow,kh,snow,weather,,,stage1
,ཨུ་སུ་,socks,A,socks,clothing,,,stage1
,བླ་མ་,lama,b,spiritual teacher/lama/guru,dharma,,,stage1
,སྐུ་ཟླ་,spouse,k,spouse (H),family,,,stage1
,སློབ་མ་,student,s,student,school,,,stage1
,ཉི་མ་,sun,ny,sun,weather,,,stage1
,གཤུ་གུ་,tail,sh,tail,,,,stage1
,ཇ་མ་,tea lady,j,tea lady,occupations,,,stage1
,དགེ་རྒན་,teacher,g,teacher,school,,,stage1
,བོད་པ་,Tibetan,b,Tibetan,adjectives,,,stage1
,ལྟ་བ་,see,t,to see,verbs,,,stage1
,ང་ལ་,to/at/for me,ng,to/at/for me,,,,stage1
,ཨ་ཁུ་,uncle,A,uncle,family,,,stage1
,སླ་པོ་,weak tea,l,weak tea,food,,,stage1
,ཚ་ལ་,welding,tsh,welding,,,,stage1
,ཀ་ཤ་,white mushroom,k,white mushroom,plants,,,stage1
,རྔ་མ་,yak's tail,ng,yak's tail,,,,stage1
,མི་ཚང་,family,m,family,family,,,stage1
,ཟ་ཁང་,restaurant,z,restaurant,,,,stage1
dmar po ,དམར་པོ་,red,m,red colour,colours,,,stage1
li wang ,ལི་ཝང་,orange,l,orange colour,colours,,,stage1
ser po ,སེར་པོ་,yellow,s,yellow colour,colours,,,stage1
ljng khu ,ལྗང་ཁུ་,green,j,green colour,colours,,,stage1
sngon po ,སྔོན་པོ་,blue,ng,blue colour,colours,,,stage1
mu man ,མུ་མན་,purple,m,purple colour,colours,,,stage1
zing skya ,ཟིང་སྐྱ་,pink,z,pink colour,colours,,,stage1
